"INDICATOR";"FREQ";"AGE";"SEX";"LOCATION";"REF_AREA";"SCENARIO";"TIME_PERIOD";"OBS_VALUE"
"SM_POP_NMRT";"A";"_T";"_T";"_T";"ERI";"M";"2020";"-0.121"
"SM_POP_NMRT";"A";"_T";"_T";"_T";"ETH";"M";"1995";"-0.993"
"SM_POP_NMRT";"A";"_T";"_T";"_T";"ETH";"M";"2000";"-0.234"
"SM_POP_NMRT";"A";"_T";"_T";"_T";"ETH";"M";"2005";"-0.123"
"SM_POP_NMRT";"A";"_T";"_T";"_T";"ETH";"M";"2010";"-0.129"
"SM_POP_NMRT";"A";"_T";"_T";"_T";"ETH";"M";"2015";"-0.114"
"SM_POP_NMRT";"A";"_T";"_T";"_T";"ETH";"M";"2020";"-0.102"
"SM_POP_NMRT";"A";"_T";"_T";"_T";"GEO";"M";"1995";"-15.902"
"SM_POP_NMRT";"A";"_T";"_T";"_T";"GEO";"M";"2000";"-13.408"
"SM_POP_NMRT";"A";"_T";"_T";"_T";"GEO";"M";"2005";"-6.769"
"SM_POP_NMRT";"A";"_T";"_T";"_T";"GEO";"M";"2010";"-5.752"
"SM_POP_NMRT";"A";"_T";"_T";"_T";"GEO";"M";"2015";"-5.143"
"SM_POP_NMRT";"A";"_T";"_T";"_T";"GEO";"M";"2020";"-4.528"
"SM_POP_NMRT";"A";"_T";"_T";"_T";"GRC";"M";"1995";"5.493"
"SM_POP_NMRT";"A";"_T";"_T";"_T";"GRC";"M";"2000";"0.985"
"SM_POP_NMRT";"A";"_T";"_T";"_T";"GRC";"M";"2005";"0.979"
"SM_POP_NMRT";"A";"_T";"_T";"_T";"GRC";"M";"2010";"0.899"
"SM_POP_NMRT";"A";"_T";"_T";"_T";"GRC";"M";"2015";"0.901"
"SM_POP_NMRT";"A";"_T";"_T";"_T";"GRC";"M";"2020";"1.809"
"SM_POP_NMRT";"A";"_T";"_T";"_T";"IND";"M";"1995";"-0.089"
"SM_POP_NMRT";"A";"_T";"_T";"_T";"IND";"M";"2000";"-0.355"
"SM_POP_NMRT";"A";"_T";"_T";"_T";"IND";"M";"2005";"-0.511"
"SM_POP_NMRT";"A";"_T";"_T";"_T";"IND";"M";"2010";"-0.369"
"SM_POP_NMRT";"A";"_T";"_T";"_T";"IND";"M";"2015";"-0.293"
"SM_POP_NMRT";"A";"_T";"_T";"_T";"IND";"M";"2020";"-0.18"
"SM_POP_NMRT";"A";"_T";"_T";"_T";"IRN";"M";"1995";"1.947"
"SM_POP_NMRT";"A";"_T";"_T";"_T";"IRN";"M";"2000";"-0.207"
"SM_POP_NMRT";"A";"_T";"_T";"_T";"IRN";"M";"2005";"-1.519"
"SM_POP_NMRT";"A";"_T";"_T";"_T";"IRN";"M";"2010";"-0.78"
"SM_POP_NMRT";"A";"_T";"_T";"_T";"IRN";"M";"2015";"-0.244"
"SM_POP_NMRT";"A";"_T";"_T";"_T";"IRN";"M";"2020";"-0.232"
"SM_POP_NMRT";"A";"_T";"_T";"_T";"IRQ";"M";"1995";"-0.162"
"SM_POP_NMRT";"A";"_T";"_T";"_T";"IRQ";"M";"2000";"-2.082"
"SM_POP_NMRT";"A";"_T";"_T";"_T";"IRQ";"M";"2005";"-3.136"
"SM_POP_NMRT";"A";"_T";"_T";"_T";"IRQ";"M";"2010";"2.697"
