Data Source,World Development Indicators,,,,,
,,,,,,
Last Updated Date,2017-02-01,,,,,
,,,,,,
"Egypt, Arab Rep.",EGY,Refugee population by country or territory of origin,SM.POP.REFG.OR,15903,17930,
"Egypt, Arab Rep.",EGY,Refugee population by country or territory of asylum,SM.POP.REFG,236090,212500,
"Egypt, Arab Rep.",EGY,Net migration,SM.POP.NETM,,,
"Egypt, Arab Rep.",EGY,Emigration rate of tertiary educated (% of total tertiary educated population),SM.EMI.TERT.ZS,,,
"Egypt, Arab Rep.",EGY,"Children in employment, wage workers (% of children in employment, ages 7-14)",SL.WAG.0714.ZS,,,
"Egypt, Arab Rep.",EGY,"Children in employment, wage workers, male (% of male children in employment, ages 7-14)",SL.WAG.0714.MA.ZS,,,
"Egypt, Arab Rep.",EGY,"Children in employment, wage workers, female (% of female children in employment, ages 7-14)",SL.WAG.0714.FE.ZS,,,
"Egypt, Arab Rep.",EGY,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,13.1999998093,,
"Egypt, Arab Rep.",EGY,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,,,
"Egypt, Arab Rep.",EGY,"Unemployment, male (% of male labor force) (modeled ILO estimate)",SL.UEM.TOTL.MA.ZS,8.5,,
"Egypt, Arab Rep.",EGY,"Unemployment, male (% of male labor force) (national estimate)",SL.UEM.TOTL.MA.NE.ZS,,,
"Egypt, Arab Rep.",EGY,"Unemployment, female (% of female labor force) (modeled ILO estimate)",SL.UEM.TOTL.FE.ZS,27.7999992371,,
"Egypt, Arab Rep.",EGY,"Unemployment, female (% of female labor force) (national estimate)",SL.UEM.TOTL.FE.NE.ZS,,,
"Egypt, Arab Rep.",EGY,Unemployment with tertiary education (% of total unemployment),SL.UEM.TERT.ZS,,,
"Egypt, Arab Rep.",EGY,"Unemployment with tertiary education, male (% of male unemployment)",SL.UEM.TERT.MA.ZS,,,
"Egypt, Arab Rep.",EGY,"Unemployment with tertiary education, female (% of female unemployment)",SL.UEM.TERT.FE.ZS,,,
"Egypt, Arab Rep.",EGY,Unemployment with secondary education (% of total unemployment),SL.UEM.SECO.ZS,,,
"Egypt, Arab Rep.",EGY,"Unemployment with secondary education, male (% of male unemployment)",SL.UEM.SECO.MA.ZS,,,
"Egypt, Arab Rep.",EGY,"Unemployment with secondary education, female (% of female unemployment)",SL.UEM.SECO.FE.ZS,,,
"Egypt, Arab Rep.",EGY,Unemployment with primary education (% of total unemployment),SL.UEM.PRIM.ZS,,,
"Egypt, Arab Rep.",EGY,"Unemployment with primary education, male (% of male unemployment)",SL.UEM.PRIM.MA.ZS,,,
"Egypt, Arab Rep.",EGY,"Unemployment with primary education, female (% of female unemployment)",SL.UEM.PRIM.FE.ZS,,,
"Egypt, Arab Rep.",EGY,"Share of youth not in education, employment, or training, total (% of youth population)",SL.UEM.NEET.ZS,,,
"Egypt, Arab Rep.",EGY,"Share of youth not in education, employment, or training, male (% of male youth population)",SL.UEM.NEET.MA.ZS,,,
"Egypt, Arab Rep.",EGY,"Share of youth not in education, employment, or training, female (% of female youth population)",SL.UEM.NEET.FE.ZS,,,
"Egypt, Arab Rep.",EGY,Long-term unemployment (% of total unemployment),SL.UEM.LTRM.ZS,,,
"Egypt, Arab Rep.",EGY,"Long-term unemployment, male (% of male unemployment)",SL.UEM.LTRM.MA.ZS,,,
"Egypt, Arab Rep.",EGY,"Long-term unemployment, female (% of female unemployment)",SL.UEM.LTRM.FE.ZS,,,
"Egypt, Arab Rep.",EGY,"Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate)",SL.UEM.1524.ZS,42,,
"Egypt, Arab Rep.",EGY,"Unemployment, youth total (% of total labor force ages 15-24) (national estimate)",SL.UEM.1524.NE.ZS,,,
"Egypt, Arab Rep.",EGY,"Unemployment, youth male (% of male labor force ages 15-24) (modeled ILO estimate)",SL.UEM.1524.MA.ZS,32.7000007629,,
"Egypt, Arab Rep.",EGY,"Unemployment, youth male (% of male labor force ages 15-24) (national estimate)",SL.UEM.1524.MA.NE.ZS,,,
"Egypt, Arab Rep.",EGY,"Unemployment, youth female (% of female labor force ages 15-24) (modeled ILO estimate)",SL.UEM.1524.FE.ZS,64.8000030518,,
"Egypt, Arab Rep.",EGY,"Unemployment, youth female (% of female labor force ages 15-24) (national estimate)",SL.UEM.1524.FE.NE.ZS,,,
"Egypt, Arab Rep.",EGY,"Labor force, total",SL.TLF.TOTL.IN,29596846,,
"Egypt, Arab Rep.",EGY,"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,24.1197558686,,
"Egypt, Arab Rep.",EGY,Labor force with tertiary education (% of total),SL.TLF.TERT.ZS,,,
